Date;Time;Price
25/06/2021;12:00;15,12
24/06/2021;12:00;15,16
23/06/2021;12:00;15,11
22/06/2021;12:00;15,02
21/06/2021;12:00;15,12
18/06/2021;12:00;15,1
17/06/2021;12:00;15,07
16/06/2021;12:00;15,07
15/06/2021;12:00;15,05
14/06/2021;12:00;14,97
11/06/2021;12:00;14,91
10/06/2021;12:00;14,9
09/06/2021;12:00;14,91
08/06/2021;12:00;14,9
07/06/2021;12:00;14,83
04/06/2021;12:00;14,8
02/06/2021;12:00;14,78
01/06/2021;12:00;14,81
31/05/2021;12:00;14,78
28/05/2021;12:00;14,73
27/05/2021;12:00;14,69
26/05/2021;12:00;14,68
25/05/2021;12:00;14,6
21/05/2021;12:00;14,44
20/05/2021;12:00;14,47
19/05/2021;12:00;14,54
18/05/2021;12:00;14,59
17/05/2021;12:00;14,45
14/05/2021;12:00;14,46
12/05/2021;12:00;14,61
11/05/2021;12:00;14,75
10/05/2021;12:00;14,71
07/05/2021;12:00;14,66
06/05/2021;12:00;14,59
05/05/2021;12:00;14,65
04/05/2021;12:00;14,66
03/05/2021;12:00;14,69
30/04/2021;12:00;14,71
29/04/2021;12:00;14,71
28/04/2021;12:00;14,71
27/04/2021;12:00;14,7
26/04/2021;12:00;14,63
23/04/2021;12:00;14,63
22/04/2021;12:00;14,54
21/04/2021;12:00;14,64
20/04/2021;12:00;14,75
19/04/2021;12:00;14,7
16/04/2021;12:00;14,6
15/04/2021;12:00;14,61
14/04/2021;12:00;14,59
13/04/2021;12:00;14,61
12/04/2021;12:00;14,58
09/04/2021;12:00;14,51
08/04/2021;12:00;14,53
07/04/2021;12:00;14,51
06/04/2021;12:00;14,35
01/04/2021;12:00;14,3
31/03/2021;12:00;14,26
30/03/2021;12:00;14,24
29/03/2021;12:00;14,07
26/03/2021;12:00;14
25/03/2021;12:00;14,02
24/03/2021;12:00;14,06
23/03/2021;12:00;14,02
22/03/2021;12:00;14,05
19/03/2021;12:00;14,14
18/03/2021;12:00;14,12
17/03/2021;12:00;14,11
16/03/2021;12:00;14,05
15/03/2021;12:00;14,06
12/03/2021;12:00;13,97
11/03/2021;12:00;13,92
10/03/2021;12:00;13,77
09/03/2021;12:00;13,68
08/03/2021;12:00;13,56
05/03/2021;12:00;13,64
04/03/2021;12:00;13,75
03/03/2021;12:00;13,81
02/03/2021;12:00;13,58
01/03/2021;12:00;13,57
26/02/2021;12:00;13,75
25/02/2021;12:00;13,75
24/02/2021;12:00;13,76
23/02/2021;12:00;13,86
22/02/2021;12:00;13,87
19/02/2021;12:00;13,94
18/02/2021;12:00;14
17/02/2021;12:00;14
16/02/2021;12:00;13,96
15/02/2021;12:00;13,88
12/02/2021;12:00;13,81
11/02/2021;12:00;13,82
10/02/2021;12:00;13,84
09/02/2021;12:00;13,81
08/02/2021;12:00;13,76
05/02/2021;12:00;13,65
04/02/2021;12:00;13,6
03/02/2021;12:00;13,45
02/02/2021;12:00;13,19
01/02/2021;12:00;13,32
29/01/2021;12:00;13,33
28/01/2021;12:00;13,49
27/01/2021;12:00;13,55
26/01/2021;12:00;13,56
25/01/2021;12:00;13,62
22/01/2021;12:00;13,66
21/01/2021;12:00;13,59
20/01/2021;12:00;13,52
19/01/2021;12:00;13,49
18/01/2021;12:00;13,56
15/01/2021;12:00;13,56
14/01/2021;12:00;13,54
13/01/2021;12:00;13,53
12/01/2021;12:00;13,58
11/01/2021;12:00;13,51
08/01/2021;12:00;13,35
07/01/2021;12:00;13,24
05/01/2021;12:00;13,25
04/01/2021;12:00;13,23
30/12/2020;12:00;13,23
29/12/2020;12:00;13,17
28/12/2020;12:00;13,07
23/12/2020;12:00;13
22/12/2020;12:00;13,07
21/12/2020;12:00;13,14
18/12/2020;12:00;13,1
17/12/2020;12:00;13,05
16/12/2020;12:00;12,98
15/12/2020;12:00;12,95
14/12/2020;12:00;12,99
11/12/2020;12:00;13,02
10/12/2020;12:00;13,07
09/12/2020;12:00;13,05
07/12/2020;12:00;13
04/12/2020;12:00;12,99
03/12/2020;12:00;13,04
02/12/2020;12:00;13,01
01/12/2020;12:00;13,04
30/11/2020;12:00;13,05
27/11/2020;12:00;13,03
26/11/2020;12:00;13,03
25/11/2020;12:00;12,93
24/11/2020;12:00;12,88
23/11/2020;12:00;12,89
20/11/2020;12:00;12,88
19/11/2020;12:00;12,92
18/11/2020;12:00;12,93
17/11/2020;12:00;12,89
16/11/2020;12:00;12,8
13/11/2020;12:00;12,85
12/11/2020;12:00;12,8
11/11/2020;12:00;12,76
10/11/2020;12:00;12,58
09/11/2020;12:00;12,4
06/11/2020;12:00;12,3
05/11/2020;12:00;12,1
04/11/2020;12:00;11,89
03/11/2020;12:00;11,71
02/11/2020;12:00;11,69
30/10/2020;12:00;11,66
29/10/2020;12:00;11,86
28/10/2020;12:00;12,01
27/10/2020;12:00;12,16
23/10/2020;12:00;12,19
22/10/2020;12:00;12,26
21/10/2020;12:00;12,3
20/10/2020;12:00;12,4
19/10/2020;12:00;12,4
16/10/2020;12:00;12,44
15/10/2020;12:00;12,51
14/10/2020;12:00;12,54
13/10/2020;12:00;12,47
12/10/2020;12:00;12,39
09/10/2020;12:00;12,31
08/10/2020;12:00;12,19
07/10/2020;12:00;12,22
06/10/2020;12:00;12,13
05/10/2020;12:00;12,13
02/10/2020;12:00;12,1
01/10/2020;12:00;12,09
30/09/2020;12:00;12,12
29/09/2020;12:00;12,01
28/09/2020;12:00;11,86
25/09/2020;12:00;11,88
24/09/2020;12:00;11,96
23/09/2020;12:00;11,9
22/09/2020;12:00;12
21/09/2020;12:00;12,17
18/09/2020;12:00;12,24
17/09/2020;12:00;12,26
16/09/2020;12:00;12,2
15/09/2020;12:00;12,12
14/09/2020;12:00;12,09
11/09/2020;12:00;12,19
10/09/2020;12:00;12,09
09/09/2020;12:00;12,14
08/09/2020;12:00;12,15
07/09/2020;12:00;12,21
04/09/2020;12:00;12,47
03/09/2020;12:00;12,35
